Y;X4
1727.330915;1754.93315
1713.103655;1755.94034
1715.237236;1752.314471
1723.39956;1754.09573
1722.895215;1758.8253
1715.4302;1755.84381
1718.232932;1748.840089
1726.782079;1750.531814
1719.018406;1761.710133
1721.655262;1755.920317
1726.690365;1755.69355
1715.095495;1757.49607
1714.007333;1742.834317
1718.448429;1752.309722
1726.288615;1761.27464
1718.815883;1753.239633
1720.85254;1753.549357
1714.572855;1748.3263
1719.36654;1757.01436
1720.422515;1753.94567
1711.70617;1757.26937
1720.997635;1753.66019
1725.68362;1758.08659
1728.697267;1745.67615
1718.255067;1757.036333
1715.885455;1750.02416
1715.978155;1756.45688
1724.51352;1759.06965
1717.106205;1744.68628
1711.97547;1756.9064
1692.298405;1744.792
1718.7634;1770.0656
1721.509819;1757.25142
1714.584968;1757.21883
1723.42473;1745.93463
1715.723175;1750.12446
1505.698295;1675.54636
1202.745052;1567.1817
1512.727945;1675.13904
1624.979065;1727.8279
1658.73722;1730.88281
1727.212885;1757.13502
1717.36463;1753.38208
1720.334353;1742.26767
1721.5435;1762.96085
1719.149195;1750.77545
1726.072775;1760.25679
1718.741485;1752.09357
1720.663465;1749.64017
1716.665615;1758.70855
1704.66203;1750.05389
1628.864405;1713.03489
1536.682915;1685.6799
1672.288275;1736.05059
1726.74427;1759.47301
1720.35174;1743.86594
1696.7094;1740.994
1647.523805;1729.25211
1595.56205;1712.45045
1687.6329;1744.703067
1681.079725;1741.24532
1715.89906;1764.296833
1187.973325;1577.53825
1465.10954;1652.93081
1542.09447;1687.75775
1407.94573;1653.29065
1233.133523;1568.85275
1266.335944;1596.45638
1007.850336;1462.12351
1267.652317;1572.17186
1407.499885;1641.02763
1479.861631;1666.49684
967.0035479;1463.44685
1252.975886;1543.11993
1193.205582;1567.913133
1503.317405;1670.63965
1658.30757;1729.11665
1713.59906;1755.45104
1718.33209;1750.52849
1721.832755;1756.33583
1717.772195;1753.84397
1727.71581;1751.34351
1712.82007;1749.95914
1715.97831;1753.93411
1721.397725;1751.05864
1704.969533;1755.899622
1722.7489;1754.80341
1718.780875;1747.4419
1699.579145;1747.58292
1716.256335;1759.71537
1723.306105;1755.90201
1716.034465;1748.0177
1720.13843;1729.22117
1719.28885;1755.509189
1715.476155;1753.39996
1717.420644;1764.786978
1722.651125;1747.12764
1721.597869;1752.833088
1731.51792;1743.29109
1710.6327;1749.5498
1708.25946;1761.74394
1724.979721;1748.71722
1720.82885;1755.94928
1713.694895;1754.51836
1721.01174;1755.38097
1714.38299;1757.64148
1711.41645;1745.65388
1722.969744;1750.481189
1728.00632;1760.69795
1725.632722;1757.2276
1717.167525;1751.13087
1720.288775;1755.56133
1722.89332;1748.26852
1714.51243;1754.24206
1722.007739;1749.230933
1707.28779;1759.50657
1726.193215;1751.07444
1713.929495;1768.39264
1713.395895;1764.20033
1715.77185;1751.37673
1703.965183;1746.757589
1714.609965;1761.25394
1662.637585;1723.51374
1667.330005;1735.92943
1721.26718;1747.18684
1714.80587;1739.47991
1721.725965;1737.98317
1701.87634;1757.48581
1707.686339;1747.416422
1686.821225;1748.822
1714.255985;1756.02652
1716.961375;1753.29927
1720.908182;1757.163244
1666.22279;1743.43437
1668.02166;1742.98723
1723.903595;1762.94842
1715.616545;1756.98256
1724.618865;1766.90059
1723.712953;1745.54225
1722.069295;1770.11491
1719.55462;1755.95612
1721.60643;1755.46935
1721.145855;1748.06657
1720.08755;1761.15918
1682.149645;1740.75468
1615.371555;1719.10876
1268.649042;1589.364022
1189.320537;1573.3616
1709.945205;1759.16514
1714.38674;1762.52359
1724.553615;1753.11187
1715.962253;1751.970929
1710.5029;1736.08665
1724.6517;1756.195088
1711.164055;1746.55354
